"VariableMatch" "Lower" "Estimate" "Upper"
"316" "1711" -1532047 -1279138 -1026229
"317" "1713" -1310584 -1099787 -888990
"318" "1715" -1416206 -1187190 -958174
"319" "1716" -1406577 -1153628 -900679
"320" "1718" -1350541 -1121599 -892657
"321" "1719" -1305306 -1006310 -707314
"322" "1721" -1284195 -1070141 -856087
"323" "1722" -1302935 -1094753 -886571
"324" "1723" -1319785 -1113694 -907603
"325" "1724" -1334477 -1116422 -898367
"326" "1731" -1342305 -1126484 -910663
"327" "1732" -1502252 -1256530 -1010808
"328" "1733" -1361379 -1134932 -908485
"329" "1734" -1397873 -1058966 -720059
"330" "1735" -1345920 -1113948 -881976
"331" "1736" -1510227 -1211112 -911997
"332" "1738" -1450450 -1197561 -944672
"333" "1741" -1281743 -1065969 -850195
"334" "1742" -1225228 -979585 -733942
"335" "1744" -1331806 -1096222 -860638
"336" "1746" -1455258 -1226274 -997290
"337" "1747" -1318829 -1096448 -874067
"338" "1749" -1263553 -1049474 -835395
"339" "1751" -1412116 -1180211 -948306
"340" "1752" -1243616 -803500 -363384
"341" "1754" -1322977 -1069851 -816725
"342" "1755" -1319592 -1093204 -866816
"343" "1756" -1423211 -1191168 -959125
"344" "1757" -1504041 -1067079 -630117
"345" "1759" -1351170 -1111085 -871000
"346" "1761" -1397840 -1186549 -975258
"347" "1764" -1354963 -1132580 -910197
"348" "1766" -1386975 -1141319 -895663
"349" "1767" -1460992 -1225267 -989542
"350" "1768" -1398004 -1134994 -871984
"351" "1769" -1472162 -1133345 -794528
"352" "1771" -1394069 -1141141 -888213
"353" "1773" -1571520 -1134654 -697788
"354" "1774" -1437173 -1174391 -911609
"355" "1775" -1392435 -1139533 -886631
"356" "1777" -1358292 -1146976 -935660
"357" "1778" -1367753 -1114835 -861917
"358" "1779" -1316823 -1090429 -864035
"359" "1781" -1336380 -1133707 -931034
"360" "1782" -1319061 -1113659 -908257
"361" "1783" -1452983 -1114312 -775641
"362" "1784" -1340975 -1121723 -902471
"363" "1785" -1356177 -1103288 -850399
"364" "1786" -1524821 -1087752 -650683
"365" "1787" -1396416 -1097557 -798698
"366" "1788" -1348776 -1140238 -931700
"367" "1789" -1357362 -1018671 -679980
"368" "1791" -1214396 -987957 -761518
"369" "1792" -1426280 -1087558 -748836
"370" "1794" -1375644 -1036814 -697984
"371" "1795" -1400309 -1101096 -801883
"372" "1796" -1475511 -1198601 -921691
"373" "1811" -1160288 -939736 -719184
"374" "1813" -1323684 -1070800 -817916
"375" "1814" -1113739 -902542 -691345
"376" "1815" -1159692 -951821 -743950
"377" "1816" -1252069 -1032815 -813561
"378" "1817" -1232568 -1000727 -768886
"379" "1821" -1360903 -1022237 -683571
"380" "1822" -1263069 -986150 -709231
"381" "1823" -1260464 -1028539 -796614
"382" "1824" -1316222 -1063362 -810502
"383" "1825" -1299864 -1080614 -861364
"384" "1826" -1292879 -1073598 -854317
"385" "1827" -1306150 -1085398 -864646
"386" "1829" -1286592 -1040978 -795364
"387" "1831" -1301407 -1061389 -821371
"388" "1834" -1248745 -1038494 -828243
"389" "1841" -1318073 -1091634 -865195
"390" "1842" -1374425 -1121476 -868527
"391" "1843" -1199876 -900932 -601988
"392" "1847" -1684990 -1247889 -810788
"393" "1851" -1128681 -924988 -721295
"394" "1852" -1142952 -933630 -724308
"395" "1861" -756891 -553947 -351003
"396" "1862" -1100822 -893349 -685876
"397" "1865" -747466 -511866 -276266
"398" "1871" -1055116 -849246 -643376
"399" "1873" -1190417 -913435 -636453
"400" "1901" -1220379 -1010154 -799929
"401" "1902" -1213709 -993015 -772321
"402" "1906" -1197411 -989244 -781077
"403" "1911" -1257922 -1035573 -813224
"404" "1921" -1205383 -987391 -769399
"405" "1931" -1236679 -959857 -683035
"406" "1934" -1264114 -1028530 -792946
"407" "1935" -1284470 -1060382 -836294
"408" "1941" -1311572 -1058589 -805606
"409" "1942" -1160447 -928553 -696659
"410" "1943" -1173392 -949162 -724932
"411" "1944" -1213544 -997731 -781918
"412" "1945" -1318904 -1042053 -765202
"413" "1946" -1351720 -1052833 -753946
"414" "1947" -1310661 -1065035 -819409
"415" "1948" -1255392 -1031161 -806930
"416" "1949" -1232415 -955762 -679109
"417" "1951" -1392116 -1165902 -939688
"418" "1962" -1238213 -1002692 -767171
"419" "1963" -1268379 -1005656 -742933
"420" "1964" -1252958 -976120 -699282
"421" "1965" -1230760 -985134 -739508
"422" "1966" -1365153 -1026433 -687713
"423" "1967" -1251325 -1024914 -798503
"424" "1968" -1464753 -1027472 -590191
"425" "1969" -1097899 -820996 -544093
"426" "1971" -1263576 -1052333 -841090
"427" "1972" -1258989 -1041005 -823021
"428" "1973" -1297264 -1061727 -826190
"429" "1974" -1265852 -1020236 -774620
"430" "1975" -1407471 -1130522 -853573
"431" "1981" -1047485 -826712 -605939
"432" "1985" -1168985 -923375 -677765
"433" "1991" -1175662 -961600 -747538
"434" "2011" -847997 -632527 -417057
"435" "2012" -842228 -627581 -412934
"436" "2013" -1067531 -843158 -618785
"437" "2014" -1129799 -914016 -698233
"438" "2015" -1025163 -796290 -567417
"439" "2021" -1182363 -968362 -754361
"440" "2022" -1100842 -888397 -675952
"441" "2023" -1013247 -799327 -585407
"442" "2024" -1093316 -877476 -661636
"443" "2025" -1170108 -950822 -731536
"444" "2026" -1160164 -939461 -718758
"445" "2031" -1184150 -747211 -310272
"446" "2032" -1167492 -938515 -709538
"447" "2033" -1232052 -933184 -634316
"448" "2034" -1230686 -985085 -739484
"449" "2035" -1249443 -996565 -743687
"450" "2036" -1194421 -948787 -703153
"451" "2037" -1362276 -1023608 -684940
"452" "2041" -1211502 -958594 -705686
"453" "2042" -1094917 -887633 -680349
"454" "2051" -810313 -589639 -368965
"455" "2061" -640779 -423989 -207199
"456" "2063" -1022599 -723059 -423519
"457" "2064" -1273837 -935156 -596475
"458" "2065" -1105338 -859650 -613962
"459" "2071" -1141081 -927074 -713067
"460" "2082" -666320 -439933 -213546
"461" "2101" -954505 -740515 -526525
"462" "2102" -868777 -646498 -424219
"463" "2103" -884729 -652774 -420819
"464" "2104" -882668 -661931 -441194
"465" "2105" -1071413 -808733 -546053
"466" "2106" -1009330 -787080 -564830
"467" "2111" 187331 392739 598147
"468" "2114" -1072961 -837416 -601871
"469" "2116" -1152565 -889675 -626785
"470" "2121" -1158125 -938875 -719625
"471" "2131" -1130412 -921519 -712626
"472" "2132" -1209867 -993104 -776341
"473" "2133" -1238485 -1014215 -789945
"474" "2134" -1181636 -977007 -772378
"475" "2135" -1242422 -1016009 -789596
"476" "2136" -1165811 -866588 -567365
"477" "2141" -1140406 -925707 -711008
"478" "2142" -997338 -744455 -491572
"479" "2143" -1257276 -1004312 -751348
"480" "2144" -1283871 -1048266 -812661
"481" "2151" -1247851 -1040743 -833635
"482" "2152" -1252719 -1040837 -828955
"483" "2153" -1209026 -973657 -738288
"484" "2156" -1380279 -1081264 -782249
"485" "2157" -1351860 -1074927 -797994
"486" "2158" -1398330 -1099439 -800548
"487" "2159" -1115891 -816790 -517689
"488" "2161" -1175614 -971535 -767456
"489" "2162" -1244780 -1028974 -813168
"490" "2163" -1228169 -951312 -674455
"491" "2165" -1339036 -1076210 -813384
"492" "2171" -870850 -659552 -448254
"493" "2172" -1212980 -993724 -774468
"494" "2181" -1203701 -997692 -791683
"495" "2182" -1238852 -1034208 -829564
"496" "2191" -1209190 -982757 -756324
"497" "2201" -943608 -737091 -530574
"498" "2202" -821249 -607287 -393325
"499" "2203" -1164946 -942601 -720256
"500" "2204" -1128256 -691311 -254366
"501" "2211" -769912 -560485 -351058
"502" "2215" -1203096 -1000050 -797004
"503" "2221" -1308134 -1009224 -710314
"504" "2223" -1176299 -949934 -723569
"505" "2224" -1151051 -898149 -645247
"506" "2225" -1214337 -990220 -766103
"507" "2231" -1200641 -990913 -781185
"508" "2235" -1168945 -923325 -677705
"509" "2241" -1105423 -898605 -691787
"510" "2242" -849598 -647843 -446088
"511" "2243" 258708 462787 666866
"512" "2244" -722474 -510551 -298628
"513" "2245" -847102 -624822 -402542
"514" "2251" -1125491 -906292 -687093
"515" "2252" -958412 -732069 -505726
"516" "2253" -1220306 -967376 -714446
"517" "2254" -1125268 -786564 -447860
"518" "2261" -1163771 -945861 -727951
"519" "2263" -1458868 -1022061 -585254
"520" "2264" -1270843 -1030852 -790861
"521" "2265" -974969 -748630 -522291
"522" "2266" -1184070 -959884 -735698
"523" "2267" -732607 -497058 -261509
"524" "2271" -944842 -734685 -524528
"525" "2272" -1155358 -915300 -675242
"526" "2273" -1242987 -944065 -645143
"527" "2274" -1081328 -828543 -575758
"528" "2275" -1078747 -825922 -573097
"529" "2281" -1189902 -944354 -698806
"530" "2282" -990269 -691402 -392535
"531" "2283" -1229323 -966685 -704047
"532" "2284" -1480521 -1043533 -606545
"533" "2285" -1196807 -986072 -775337
"534" "2286" -1126363 -902164 -677965
"535" "2287" -1468154 -1031028 -593902
"536" "2288" -766118 -503257 -240396
"537" "2289" -1291650 -952927 -614204
"538" "2291" -1180088 -967541 -754994
"539" "2292" -1216510 -970934 -725358
"540" "2295" -1315245 -1038427 -761609
"541" "2311" -896705 -681871 -467037
"542" "2312" -1088915 -848556 -608197
"543" "2313" -1097762 -873577 -649392
"544" "2314" -1215668 -963049 -710430
"545" "2315" -1196955 -972728 -748501
"546" "2316" -1254707 -977694 -700681
"547" "2317" -1205815 -992579 -779343
"548" "2318" -1235846 -1000356 -764866
"549" "2321" -975797 -722786 -469775
"550" "2323" -940664 -663739 -386814
"551" "2324" -1482246 -1045260 -608274
"552" "2331" -1201167 -980526 -759885
"553" "2332" -1160515 -915015 -669515
"554" "2333" -1392977 -955948 -518919
"555" "2334" -1074981 -736356 -397731
"556" "2341" -994938 -783119 -571300
"557" "2342" -1091749 -859838 -627927
"558" "2343" -932866 -726023 -519180
"559" "2351" -1389341 -952403 -515465
"560" "2352" -1219443 -942671 -665899
"561" "2353" -1224167 -1011636 -799105
"562" "2355" -845874 -506989 -168104
"563" "2361" -936434 -717192 -497950
"564" "2362" -1088347 -650906 -213465
"565" "2371" -1283257 -1030446 -777635
"566" "2374" -1077723 -778670 -479617
"567" "2375" -1511426 -1074572 -637718
"568" "2376" -1413893 -1114969 -816045
"569" "2377" -1381521 -1082564 -783607
"570" "2381" -968719 -733156 -497593
"571" "2382" -1387500 -950640 -513780
"572" "2391" -1290289 -1073408 -856527
"573" "2394" -1328391 -1051262 -774133
"574" "2396" -1187684 -958707 -729730
"575" "2401" -1212500 -999206 -785912
"576" "2402" -1314249 -1087914 -861579
"577" "2403" -1292819 -1072122 -851425
"578" "2404" -1273442 -1027917 -782392
"579" "2405" -1174309 -962606 -750903
"580" "2406" -1256033 -1042838 -829643
"581" "2407" -1223112 -977355 -731598
"582" "2408" -1264144 -1059494 -854844
"583" "2411" -1229554 -1028571 -827588
"584" "2412" -1465089 -1028225 -591361
"585" "2415" -1288776 -1070648 -852520
"586" "2421" -1255030 -1045496 -835962
"587" "2431" -1286332 -1065544 -844756
"588" "2435" -1295045 -1059393 -823741
"589" "2441" -1276458 -1023636 -770814
"590" "2445" -1211777 -934740 -657703
"591" "2451" -1116315 -777670 -439025
"592" "2461" -1252722 -1040780 -828838
"593" "2465" -1302026 -1025117 -748208
"594" "2471" -1234780 -1002860 -770940
"595" "2481" -1254281 -1033546 -812811
"596" "2492" -1168905 -951029 -733153
"597" "2493" -1022841 -796462 -570083
"598" "2495" -1179049 -916209 -653369
"599" "2496" -1198944 -982109 -765274
"600" "2497" -1290648 -1071438 -852228
"601" "2498" -1203601 -974671 -745741
"602" "2512" -1162513 -863494 -564475
"603" "2514" -674903 -452826 -230749
"604" "2515" -1372176 -935270 -498364
"605" "2517" -786243 -546532 -306821
"606" "2518" -955316 -710053 -464790
"607" "2521" -1458877 -1022022 -585167
"608" "2523" -1484206 -1047339 -610472
"609" "2524" -1559873 -1122996 -686119
"610" "2525" -1402070 -1063377 -724684
"611" "2526" -1452223 -1015357 -578491
"612" "2531" -1678333 -1241516 -804699
"613" "2533" -1414734 -977797 -540860
"614" "2542" -1307272 -1067396 -827520
"615" "2544" -1335764 -996119 -656474
"616" "2545" -1393033 -956151 -519269
"617" "2546" -1318343 -1041568 -764793
"618" "2547" -1343264 -1044351 -745438
"619" "2548" -1191749 -986551 -781353
"620" "2551" -1353948 -1015239 -676530
"621" "2552" -1214033 -982119 -750205
"622" "2553" -985978 -763639 -541300
"623" "2554" -967974 -705277 -442580
"624" "2555" -1128279 -851490 -574701
"625" "2562" -1293656 -994876 -696096
"626" "2563" -1227366 -987450 -747534
"627" "2564" -1116357 -863552 -610747
"628" "2565" -1206460 -867813 -529166
"629" "2566" -929431 -703051 -476671
"630" "2573" -1350584 -1051719 -752854
"631" "2574" -1286223 -1023552 -760881
"632" "2581" -1058480 -795886 -533292
"633" "2582" -835879 -583088 -330297
"634" "2583" -1256079 -957426 -658773
"635" "2584" -887730 -642205 -396680
"636" "2585" -496432 -272385 -48338
"637" "2586" -1167941 -868524 -569107
"638" "2587" -886199 -650744 -415289
"639" "2591" -1304750 -966096 -627442
"640" "2593" -1257025 -958225 -659425
"641" "2594" -1005251 -742662 -480073
"642" "2595" -1244089 -905378 -566667
"643" "2596" -912887 -688778 -464669
"644" "2597" -591160 -359395 -127630
"645" "2611" -957923 -743280 -528637
"646" "2612" -1097100 -870775 -644450
"647" "2613" -1146078 -928259 -710440
"648" "2614" -1202089 -977907 -753725
"649" "2616" -1536824 -1099744 -662664
"650" "2622" -1269491 -1033961 -798431
"651" "2623" -1288366 -1035480 -782594
"652" "2624" -1370395 -1031687 -692979
"653" "2625" -1276757 -1041177 -805597
"654" "2626" -437170 0 437170
"655" "2627" -1194153 -917327 -640501
"656" "2628" -1150610 -926399 -702188
"657" "2629" -1399691 -1059908 -720125
"658" "2631" -1143411 -939814 -736217
"659" "2632" -1234103 -1005202 -776301
"660" "2635" -1190694 -968338 -745982
"661" "2636" -1186146 -940530 -694914
"662" "2641" -1154479 -944792 -735105
"663" "2642" -1251492 -988765 -726038
"664" "2643" -1331829 -993140 -654451
"665" "2645" -1219523 -997186 -774849
"666" "2651" -1184421 -979996 -775571
"667" "2652" -1205797 -986501 -767205
"668" "2661" -1138810 -931674 -724538
"669" "2662" -1232311 -1000352 -768393
"670" "2665" -1220560 -1014284 -808008
"671" "2671" -1213351 -1005570 -797789
"672" "2672" -1245019 -1005026 -765033
"673" "2673" -1170469 -924869 -679269
"674" "2675" -1265642 -1050773 -835904
"675" "2676" -1332092 -1069278 -806464
"676" "2678" -1286545 -1023620 -760695
"677" "2681" -1219161 -1012293 -805425
"678" "2685" -1250601 -1029792 -808983
