"VariableMatch" "Lower" "Estimate" "Upper"
"1338" "4388" -1323817 -1119950 -916083
"1339" "4389" -1427530 -1088673 -749816
"1340" "4401" -1411572 -1179603 -947634
"1341" "4411" -1396464 -1177207 -957950
"1342" "4413" -1433534 -1094842 -756150
"1343" "4414" -1568669 -1131776 -694883
"1344" "4415" -1413080 -1073296 -733512
"1345" "4416" -1411994 -1149228 -886462
"1346" "4417" -1383170 -1151205 -919240
"1347" "4421" -1320933 -1094544 -868155
"1348" "4423" -1406128 -1153181 -900234
"1349" "4424" -1370781 -1146603 -922425
"1350" "4431" -1446323 -1206293 -966263
"1351" "4433" -1437128 -1160265 -883402
"1352" "4434" -1414891 -1138007 -861123
"1353" "4435" -1183821 -746892 -309963
"1354" "4436" -1484253 -1238567 -992881
"1355" "4437" -1505584 -1166911 -828238
"1356" "4438" -1372407 -1109563 -846719
"1357" "4441" -1407892 -1172295 -936698
"1358" "4443" -1363638 -1086745 -809852
"1359" "4444" -1568006 -1268943 -969880
"1360" "4451" -1371487 -1154606 -937725
"1361" "4453" -1371412 -1150640 -929868
"1362" "4454" -1383282 -1137616 -891950
"1363" "4455" -1444089 -1208475 -972861
"1364" "4456" -1337399 -1108384 -879369
"1365" "4458" -1404641 -1159068 -913495
"1366" "4461" -1290198 -1085018 -879838
"1367" "4462" -1355809 -1133430 -911051
"1368" "4463" -1336342 -1109940 -883538
"1369" "4464" -1359617 -1106764 -853911
"1370" "4465" -1142988 -902943 -662898
"1371" "4471" -1367610 -1131958 -896306
"1372" "4472" -1417716 -1164745 -911774
"1373" "4474" -1351602 -1088869 -826136
"1374" "4475" -1344153 -1098515 -852877
"1375" "4481" -1297848 -1068899 -839950
"1376" "4484" -1366155 -1159076 -951997
"1377" "4485" -1431192 -1132115 -833038
"1378" "4486" -1368444 -1144209 -919974
"1379" "4491" -1418683 -1192288 -965893
"1380" "4493" -1255963 -1046137 -836311
"1381" "4494" -1458266 -1159327 -860388
"1382" "4501" -1474071 -1234034 -993997
"1383" "4503" -1515311 -1176548 -837785
"1384" "4504" -1560653 -1123577 -686501
"1385" "4505" -1440953 -1141689 -842425
"1386" "4506" -1305860 -1006913 -707966
"1387" "4507" -1489139 -1190206 -891273
"1388" "4511" -1362478 -1122405 -882332
"1389" "4513" -1431770 -1196178 -960586
"1390" "4515" -1447044 -1218068 -989092
"1391" "4521" -1414404 -1200336 -986268
"1392" "4525" -1380876 -1041884 -702892
"1393" "4527" -1403757 -1158168 -912579
"1394" "4529" -1623780 -1285001 -946222
"1395" "4531" -1412714 -1183983 -955252
"1396" "4532" -1339035 -1123180 -907325
"1397" "4533" -1339941 -1113553 -887165
"1398" "4535" -1331325 -1085708 -840091
"1399" "4536" -1383176 -1130289 -877402
"1400" "4537" -1367160 -1144786 -922412
"1401" "4538" -1651258 -1214222 -777186
"1402" "4541" -1381419 -1159017 -936615
"1403" "4542" -1463209 -1210324 -957439
"1404" "4543" -1441320 -1188272 -935224
"1405" "4551" -1392142 -1165708 -939274
"1406" "4553" -1425213 -1193227 -961241
"1407" "4554" -1436844 -1183936 -931028
"1408" "4561" -1421945 -1145072 -868199
"1409" "4562" -1619746 -1182835 -745924
"1410" "4564" -1850059 -1413055 -976051
"1411" "4566" -1557223 -1218425 -879627
"1412" "4569" -1618833 -1181971 -745109
"1413" "4571" -1367842 -1158913 -949984
"1414" "4574" -1454034 -1155038 -856042
"1415" "4576" -1391401 -1155779 -920157
"1416" "4581" -1487363 -1234459 -981555
"1417" "4583" -1657725 -1220724 -783723
"1418" "4584" -1711534 -1274532 -837530
"1419" "4586" -2233520 -1796429 -1359338
"1420" "4587" -1536839 -1260002 -983165
"1421" "4611" -1293493 -1087437 -881381
"1422" "4613" -1360303 -1124773 -889243
"1423" "4614" -1365777 -1139400 -913023
"1424" "4615" -1335433 -1119592 -903751
"1425" "4617" -1298203 -1083335 -868467
"1426" "4621" -1377558 -1100691 -823824
"1427" "4623" -1382770 -1147173 -911576
"1428" "4624" -1395597 -1163628 -931659
"1429" "4625" -1340910 -1124076 -907242
"1430" "4631" -1326517 -1115734 -904951
"1431" "4634" -1377839 -1124920 -872001
"1432" "4635" -1450436 -1210484 -970532
"1433" "4641" -1366996 -1161760 -956524
"1434" "4645" -1358781 -1113081 -867381
"1435" "4651" -1350272 -1147754 -945236
"1436" "4652" -1491944 -1055091 -618238
"1437" "4655" -1459726 -1182782 -905838
"1438" "4661" -1314281 -1107147 -900013
"1439" "4664" -1366147 -1130489 -894831
"1440" "4671" -1355319 -1146394 -937469
"1441" "4675" -1360401 -1146308 -932215
"1442" "4681" -1353787 -1124812 -895837
"1443" "4691" -1397837 -1186547 -975257
"1444" "4693" -1374578 -1138991 -903404
"1445" "4694" -1338770 -1122909 -907048
"1446" "4695" -1340507 -1111496 -882485
"1447" "4696" -1426074 -1173187 -920300
"1448" "4697" -1371736 -1139710 -907684
"1449" "4698" -1418731 -1201879 -985027
"1450" "4701" -1320484 -1110348 -900212
"1451" "4702" -1361970 -1152666 -943362
"1452" "4703" -1342367 -1127486 -912605
"1453" "4704" -1650014 -1212907 -775800
"1454" "4705" -1675999 -1238821 -801643
"1455" "4706" -1320175 -1113791 -907407
"1456" "4707" -1319365 -1109105 -898845
"1457" "4708" -1303579 -1097220 -890861
"1458" "4709" -1355719 -1115696 -875673
"1459" "4711" -1342010 -1139540 -937070
"1460" "4714" -1360862 -1151046 -941230
"1461" "4715" -1383161 -1176277 -969393
"1462" "4721" -1383323 -1120604 -857885
"1463" "4722" -1768071 -1429167 -1090263
"1464" "4724" -1411897 -1166272 -920647
"1465" "4725" -1340420 -1094641 -848862
"1466" "4726" -1405020 -1164878 -924736
"1467" "4727" -1597876 -1161012 -724148
"1468" "4731" -1333792 -1133085 -932378
"1469" "4735" -1364370 -1135413 -906456
"1470" "4741" -1324009 -1116186 -908363
"1471" "4744" -1501657 -1279119 -1056581
"1472" "4751" -1318781 -1114645 -910509
"1473" "4754" -1432169 -1200161 -968153
"1474" "4756" -1320271 -1102211 -884151
"1475" "4758" -1364291 -1140058 -915825
"1476" "4759" -1395999 -1143061 -890123
"1477" "4761" -1287960 -1085837 -883714
"1478" "4762" -1247550 -948480 -649410
"1479" "4765" -1368393 -1132816 -897239
"1480" "4771" -1444997 -1168137 -891277
"1481" "4772" -1407848 -970712 -533576
"1482" "4791" -1363224 -1153421 -943618
"1483" "4793" -1325816 -1118069 -910322
"1484" "4794" -1458466 -1229442 -1000418
"1485" "4796" -1513193 -1174430 -835667
"1486" "4797" -1255255 -1048172 -841089
"1487" "4800" -1270340 -833188 -396036
"1488" "4811" -1062523 -799825 -537127
"1489" "4812" -1205597 -983244 -760891
"1490" "4813" -1256840 -979984 -703128
"1491" "4814" -1280158 -1055938 -831718
"1492" "4815" -1210201 -978297 -746393
"1493" "4816" -1436865 -1098180 -759495
"1494" "4817" -1230939 -1020199 -809459
"1495" "4818" -1091037 -880351 -669665
"1496" "4819" -1147644 -915691 -683738
"1497" "4822" -1265311 -1051239 -837167
"1498" "4823" -1280209 -1075234 -870259
"1499" "4824" -1304060 -1084794 -865528
"1500" "4826" -1335717 -1095715 -855713
"1501" "4827" -1270482 -1041710 -812938
"1502" "4834" -1086676 -880153 -673630
"1503" "4835" -1074617 -861448 -648279
"1504" "4836" -1272932 -1043804 -814676
"1505" "4837" -971258 -748872 -526486
"1506" "4838" -1242428 -1013501 -784574
"1507" "4839" -1390220 -1051424 -712628
"1508" "4841" -1180016 -975883 -771750
"1509" "4844" -1241010 -995346 -749682
"1510" "4845" -1406231 -1166185 -926139
"1511" "4847" -1241298 -1028031 -814764
"1512" "4849" -1273926 -1038355 -802784
"1513" "4851" -1226546 -1017646 -808746
"1514" "4854" -1142784 -934647 -726510
"1515" "4855" -1276590 -1023656 -770722
"1516" "4856" -1292303 -953517 -614731
"1517" "4858" -1364953 -1026039 -687125
"1518" "4861" -1316654 -1100778 -884902
"1519" "4871" -1246300 -1040230 -834160
"1520" "4872" -1278243 -1070492 -862741
"1521" "4873" -1193347 -977490 -761633
"1522" "4874" -1311650 -1085242 -858834
"1523" "4875" -1321380 -1081389 -841398
"1524" "4876" -1272831 -1063552 -854273
"1525" "4879" -1338875 -999989 -661103
"1526" "4881" -1324306 -1124909 -925512
"1527" "4882" -1353511 -1147392 -941273
"1528" "4884" -1369759 -1165740 -961721
"1529" "4885" -1410678 -1195746 -980814
"1530" "4891" -1317930 -1114346 -910762
"1531" "4901" -1274111 -1069056 -864001
"1532" "4902" -1316842 -1106117 -895392
"1533" "4903" -1318242 -881225 -444208
"1534" "4904" -1174215 -967925 -761635
"1535" "4905" -1219482 -956619 -693756
"1536" "4906" -1290177 -1058232 -826287
"1537" "4907" -1290422 -1085602 -880782
"1538" "4908" -1286162 -1059763 -833364
"1539" "4909" -1353648 -1113599 -873550
"1540" "4911" -1349993 -1109749 -869505
"1541" "4921" -1286164 -1078705 -871246
"1542" "4924" -1351416 -1105799 -860182
"1543" "4926" -1308813 -1101955 -895097
"1544" "4927" -1302976 -1070996 -839016
"1545" "4931" -1261347 -1053565 -845783
"1546" "4941" -1276152 -1069271 -862390
"1547" "4942" -1305714 -1083356 -860998
"1548" "4944" -1261134 -1041749 -822364
"1549" "5011" -1327439 -1119986 -912533
"1550" "5012" -1318316 -1101476 -884636
"1551" "5013" -1506853 -1168086 -829319
"1552" "5014" -1293307 -1086718 -880129
"1553" "5015" -1310669 -971916 -633163
"1554" "5017" -1220470 -984996 -749522
"1555" "5018" -1351601 -1052728 -753855
"1556" "5021" -1282165 -1071390 -860615
"1557" "5022" -1313545 -1098645 -883745
"1558" "5025" -1280206 -1074075 -867944
"1559" "5026" -1540973 -1103575 -666177
"1560" "5032" -1194949 -985601 -776253
"1561" "5035" -1313652 -1103853 -894054
"1562" "5036" -1267271 -1058404 -849537
"1563" "5037" -1188555 -978358 -768161
"1564" "5038" -1271758 -1060676 -849594
"1565" "5041" -1312532 -1097649 -882766
"1566" "5042" -1303927 -1081637 -859347
"1567" "5043" -1317223 -1103937 -890651
"1568" "5044" -1220984 -1008406 -795828
"1569" "5045" -1314966 -1114406 -913846
"1570" "5046" -1317045 -1107261 -897477
"1571" "5047" -1533521 -1234532 -935543
"1572" "5049" -1308434 -1082012 -855590
"1573" "5050" -1846952 -1409994 -973036
"1574" "5051" -1244590 -1042957 -841324
"1575" "5052" -1301210 -1072262 -843314
"1576" "5053" -1268042 -1043784 -819526
"1577" "5056" -1252797 -1050375 -847953
"1578" "5057" -1496881 -1059994 -623107
"1579" "5059" -1468605 -1191451 -914297
"1580" "5061" -1216904 -1012116 -807328
"1581" "5062" -1046212 -840792 -635372
"1582" "5063" -1494871 -1057985 -621099
"1583" "5066" -1241002 -1034901 -828800
"1584" "5071" -1281903 -1064987 -848071
"1585" "5074" -1304340 -1072265 -840190
"1586" "5076" -1182782 -971441 -760100
"1587" "5081" -1236035 -1033195 -830355
"1588" "5084" -1356632 -1093775 -830918
"1589" "5085" -1369907 -1134294 -898681
"1590" "5087" -1319549 -1112965 -906381
"1591" "5089" -1352521 -1099602 -846683
"1592" "5091" -1380675 -1176109 -971543
"1593" "5094" -1317153 -1109992 -902831
"1594" "5095" -1386114 -1169218 -952322
"1595" "5096" -1325235 -1048317 -771399
"1596" "5101" -1314144 -1103886 -893628
"1597" "5102" -1299525 -1091002 -882479
"1598" "5103" -1289012 -1079262 -869512
"1599" "5104" -1333908 -1125391 -916874
"1600" "5105" -1443835 -1105109 -766383
"1601" "5106" -1366558 -1103818 -841078
"1602" "5107" -1541993 -1104655 -667317
"1603" "5109" -1297918 -1065940 -833962
"1604" "5111" -1371324 -1167993 -964662
"1605" "5113" -1543775 -1298099 -1052423
"1606" "5114" -1487672 -1188694 -889716
"1607" "5121" -1305270 -1099845 -894420
"1608" "5122" -1319774 -1101766 -883758
"1609" "5124" -1390337 -1150191 -910045
"1610" "5125" -1491136 -1192169 -893202
"1611" "5126" -1328219 -1113339 -898459
"1612" "5131" -1378953 -1170797 -962641
"1613" "5133" -1385307 -1165996 -946685
"1614" "5141" -1262579 -1049355 -836131
"1615" "5142" -1310897 -1103135 -895373
"1616" "5143" -1241332 -1029994 -818656
"1617" "5144" -1287987 -1079869 -871751
"1618" "5146" -1322446 -1086987 -851528
"1619" "5151" -1238911 -1037220 -835529
"1620" "5152" -1274383 -1061100 -847817
"1621" "5154" -1411841 -1171756 -931671
"1622" "5161" -1328315 -1125143 -921971
"1623" "5165" -1404594 -1190558 -976522
"1624" "5171" -1320879 -1115469 -910059
"1625" "5172" -1357580 -1094853 -832126
"1626" "5175" -1299778 -1089045 -878312
"1627" "5176" -1324533 -1025628 -726723
"1628" "5211" -853401 -632929 -412457
"1629" "5212" -1116411 -880957 -645503
"1630" "5213" -1267344 -1027330 -787316
"1631" "5215" -1282803 -1037204 -791605
"1632" "5216" -1287225 -988288 -689351
"1633" "5221" -1276791 -1073498 -870205
"1634" "5223" -1246889 -1006934 -766979
"1635" "5224" -1344382 -1125119 -905856
"1636" "5231" -1361073 -1115514 -869955
"1637" "5233" -1320390 -1067518 -814646
"1638" "5235" -1276181 -1058192 -840203
"1639" "5236" -1233621 -1023893 -814165
"1640" "5237" -1275893 -1061859 -847825
"1641" "5241" -1219027 -1005755 -792483
"1642" "5242" -1084209 -870135 -656061
"1643" "5243" -1305484 -1059768 -814052
"1644" "5244" -1234306 -1002419 -770532
"1645" "5245" -1251663 -1022730 -793797
"1646" "5246" -1223163 -1007345 -791527
"1647" "5247" -1225320 -1020756 -816192
"1648" "5248" -1251578 -1011546 -771514
"1649" "5249" -1394013 -1117065 -840117
"1650" "5251" -1251724 -1050691 -849658
"1651" "5252" -1308649 -1063052 -817455
"1652" "5253" -1299270 -1081308 -863346
"1653" "5254" -1281908 -1062372 -842836
"1654" "5256" -1293696 -1086244 -878792
"1655" "5258" -1218464 -1013467 -808470
"1656" "5261" -1173689 -961143 -748597
"1657" "5262" -1187930 -975402 -762874
"1658" "5263" -1018627 -809725 -600823
"1659" "5266" -1283451 -1006538 -729625
"1660" "5268" -1185053 -973078 -761103
"1661" "5271" -1241359 -1039219 -837079
"1662" "5272" -1334590 -1057709 -780828
"1663" "5275" -1086084 -854079 -622074
"1664" "5281" -1342423 -1096725 -851027
"1665" "5282" -1380676 -1103814 -826952
"1666" "5283" -1299697 -1070696 -841695
"1667" "5291" -1286615 -1062374 -838133
"1668" "5292" -1320222 -1043128 -766034
"1669" "5293" -1138706 -839831 -540956
"1670" "5294" -1110640 -771772 -432904
"1671" "5296" -1287621 -1070729 -853837
"1672" "5298" -1349732 -1129007 -908282
"1673" "5301" -1268959 -1064644 -860329
"1674" "5302" -1375305 -1076402 -777499
"1675" "5305" -1445542 -1192658 -939774
"1676" "5306" -1334317 -1098743 -863169
"1677" "5307" -1320640 -1057869 -795098
"1678" "5308" -1428420 -1196463 -964506
"1679" "5311" -1377652 -1137404 -897156
"1680" "5313" -1288213 -1035083 -781953
"1681" "5314" -1332324 -1079407 -826490
"1682" "5315" -1316153 -1063065 -809977
"1683" "5316" -1432596 -1093447 -754298
"1684" "5317" -1330383 -1084744 -839105
"1685" "5321" -1279343 -1069062 -858781
"1686" "5324" -1334260 -1122357 -910454
"1687" "5325" -1414002 -1137095 -860188
"1688" "5327" -1369576 -1092621 -815666
"1689" "5328" -1257494 -1040628 -823762
"1690" "5331" -1322200 -1117573 -912946
"1691" "5333" -1530108 -1092903 -655698
"1692" "5334" -1364389 -1143596 -922803
"1693" "5335" -1446139 -1193208 -940277
"1694" "5341" -1326051 -1103699 -881347
"1695" "5342" -1275324 -1062758 -850192
"1696" "5343" -1316237 -1104879 -893521
"1697" "5344" -1333283 -1117422 -901561
"1698" "5345" -1300605 -1096477 -892349
"1699" "5346" -1314896 -1096894 -878892
"1700" "5347" -1464708 -1125972 -787236
"1701" "5348" -1311627 -1104500 -897373
"1702" "5349" -1530045 -1191323 -852601
"1703" "5351" -1300535 -1097229 -893923
"1704" "5352" -1411717 -1134848 -857979
"1705" "5353" -1473475 -1196349 -919223
"1706" "5354" -1663249 -1226278 -789307
"1707" "5357" -1383944 -1085068 -786192
"1708" "5361" -1317147 -1115659 -914171
"1709" "5363" -1441697 -1201562 -961427
"1710" "5364" -1426541 -1127516 -828491
"1711" "5366" -1327902 -1107199 -886496
"1712" "5367" -1499999 -1201109 -902219
"1713" "5368" -1498580 -1245622 -992664
"1714" "5371" -1308259 -1097505 -886751
"1715" "5373" -1332219 -1116384 -900549
"1716" "5374" -1350056 -1146616 -943176
"1717" "5375" -1469836 -1252909 -1035982
"1718" "5381" -1429945 -1166919 -903893
"1719" "5382" -1360435 -1124819 -889203
"1720" "5383" -1441487 -1102724 -763961
"1721" "5384" -1309919 -1107077 -904235
"1722" "5386" -1301904 -1072912 -843920
"1723" "5388" -1278031 -1071672 -865313
"1724" "5391" -1342119 -1130182 -918245
"1725" "5392" -1339761 -1086797 -833833
"1726" "5394" -1381041 -1145419 -909797
"1727" "5395" -1453849 -1176895 -899941
"1728" "5396" -1342774 -1089848 -836922
"1729" "5397" -1365113 -1159825 -954537
"1730" "5398" -1395676 -1182373 -969070
"1731" "5401" -1267656 -1056903 -846150
"1732" "5402" -1297119 -1091073 -885027
"1733" "5403" -1293640 -1090322 -887004
"1734" "5404" -1230532 -990512 -750492
"1735" "5405" -1334719 -995259 -655799
"1736" "5406" -1282259 -1074451 -866643
"1737" "5408" -1336482 -1117143 -897804
"1738" "5409" -1417805 -1191320 -964835
"1739" "5411" -1337083 -1122160 -907237
"1740" "5421" -1281965 -1080273 -878581
"1741" "5422" -1315094 -1102536 -889978
"1742" "5423" -1445114 -1218696 -992278
"1743" "5424" -1371872 -1142943 -914014
"1744" "5425" -1376014 -1149577 -923140
"1745" "5427" -1352252 -1148913 -945574
"1746" "5428" -1319946 -1099193 -878440
"1747" "5431" -1328103 -1126095 -924087
"1748" "5432" -1325497 -1124241 -922985
"1749" "5433" -1446717 -1147664 -848611
"1750" "5434" -1408897 -1146145 -883393
"1751" "5435" -1546298 -1109250 -672202
"1752" "5437" -1381411 -1155001 -928591
"1753" "5438" -1461272 -1225739 -990206
"1754" "5439" -1455186 -1116361 -777536
"1755" "5441" -1391966 -1188258 -984550
"1756" "5443" -1442112 -1227211 -1012310
"1757" "5445" -1519706 -1256851 -993996
"1758" "5446" -1447587 -1225231 -1002875
"1759" "5447" -1398997 -1158931 -918865
"1760" "5451" -1396103 -1190472 -984841
"1761" "5453" -1344586 -1131334 -918082
"1762" "5454" -1429343 -1193742 -958141
"1763" "5455" -1414403 -1174336 -934269
"1764" "5461" -1313357 -1095354 -877351
"1765" "5462" -1356222 -1129815 -903408
"1766" "5463" -1319906 -1115288 -910670
"1767" "5464" -1325206 -1121653 -918100
"1768" "5465" -1308156 -1085712 -863268
"1769" "5466" -1377529 -1151124 -924719
"1770" "5467" -1306221 -1101400 -896579
"1771" "5469" -1297656 -1093659 -889662
"1772" "5471" -1514054 -1237026 -959998
"1773" "5472" -1537438 -1284491 -1031544
"1774" "5473" -1338046 -1134581 -931116
"1775" "5476" -1354006 -1101063 -848120
"1776" "5481" -1220848 -1012716 -804584
"1777" "5482" -1253436 -1048796 -844156
"1778" "5491" -1270297 -1068791 -867285
"1779" "5492" -1230242 -1027511 -824780
"1780" "5501" -1339580 -1062756 -785932
"1781" "5502" -1214082 -985154 -756226
"1782" "5503" -1252176 -1006558 -760940
"1783" "5504" -1235962 -1026653 -817344
"1784" "5505" -1242334 -979589 -716844
"1785" "5506" -1339178 -1076266 -813354
"1786" "5507" -1257561 -820564 -383567
"1787" "5508" -1212467 -1002400 -792333
"1788" "5509" -1291895 -1059962 -828029
"1789" "5511" -1547045 -1270104 -993163
"1790" "5512" -1316362 -1063450 -810538
"1791" "5513" -1286250 -987217 -688184
"1792" "5521" -1264571 -1056761 -848951
"1793" "5524" -1358573 -1105666 -852759
"1794" "5525" -1387334 -1160899 -934464
"1795" "5527" -1345044 -1136116 -927188
"1796" "5528" -1396920 -1167948 -938976
"1797" "5529" -1352484 -1099528 -846572
"1798" "5531" -1267574 -1060973 -854372
"1799" "5534" -1399283 -1146317 -893351
"1800" "5541" -1305090 -1099846 -894602
"1801" "5551" -1260504 -1053334 -846164
"1802" "5552" -1304626 -1095292 -885958
"1803" "5553" -1328077 -1088026 -847975
"1804" "5554" -1269780 -1064842 -859904
"1805" "5555" -1250275 -1029548 -808821
"1806" "5556" -1326575 -1109668 -892761
"1807" "5561" -1426383 -1190734 -955085
"1808" "5563" -1305250 -1081016 -856782
"1809" "5571" -1313431 -1109432 -905433
"1810" "5575" -1395091 -1170820 -946549
"1811" "5581" -1174457 -966654 -758851
"1812" "5582" -1134954 -924207 -713460
"1813" "5583" -1208020 -998299 -788578
"1814" "5591" -1265925 -1062609 -859293
"1815" "5595" -1338260 -1102666 -867072
"1816" "5611" -1148275 -921992 -695709
"1817" "5612" -1328063 -1051212 -774361
"1818" "5613" -1173571 -928103 -682635
"1819" "5614" -1229807 -967065 -704323
"1820" "5615" -1207503 -975717 -743931
"1821" "5616" -1212177 -980309 -748441
"1822" "5621" -1379354 -1080490 -781626
"1823" "5622" -1303271 -1057669 -812067
"1824" "5623" -1413151 -1074479 -735807
"1825" "5624" -1287434 -1068245 -849056
"1826" "5625" -1335617 -1100096 -864575
"1827" "5626" -1260267 -1045328 -830389
"1828" "5627" -1246610 -1039990 -833370
"1829" "5628" -1315770 -1086835 -857900
"1830" "5629" -1234562 -1025264 -815966
"1831" "5631" -1187620 -977850 -768080
"1832" "5632" -1273202 -1058312 -843422
"1833" "5641" -1314541 -1093829 -873117
"1834" "5642" -1259315 -1027330 -795345
"1835" "5643" -1264563 -1024581 -784599
"1836" "5644" -1193734 -967361 -740988
"1837" "5645" -1239550 -1007642 -775734
"1838" "5646" -1437687 -1099001 -760315
"1839" "5651" -1133490 -880663 -627836
"1840" "5652" -1276132 -1055439 -834746
"1841" "5653" -1353765 -1091036 -828307
"1842" "5654" -1313434 -1084493 -855552
"1843" "5655" -1302257 -1079916 -857575
"1844" "5658" -1253967 -1050322 -846677
"1845" "5661" -1384470 -1085572 -786674
"1846" "5662" -1296442 -1080664 -864886
"1847" "5663" -1263880 -1031942 -800004
"1848" "5664" -1272740 -1046361 -819982
"1849" "5665" -1341954 -1110022 -878090
"1850" "5666" -1277532 -1060701 -843870
"1851" "5667" -1313652 -1101773 -889894
"1852" "5671" -1213675 -1003907 -794139
"1853" "5672" -1265257 -1055023 -844789
"1854" "5673" -1245308 -1040519 -835730
"1855" "5674" -1257528 -1054481 -851434
"1856" "5682" -1335947 -1073241 -810535
"1857" "5683" -1203810 -991881 -779952
"1858" "5684" -1261460 -1049532 -837604
"1859" "5685" -1270179 -1043716 -817253
"1860" "5688" -1215980 -1013835 -811690
"1861" "5689" -1297027 -958284 -619541
"1862" "5691" -1265030 -1054261 -843492
"1863" "5692" -1299795 -1064186 -828577
"1864" "5694" -1318468 -1096133 -873798
"1865" "5701" -1351685 -1144316 -936947
"1866" "5702" -1318247 -1109737 -901227
"1867" "5703" -1358677 -1136305 -913933
"1868" "5704" -1314234 -1110526 -906818
"1869" "5705" -1346552 -1093613 -840674
"1870" "5706" -1297448 -1098051 -898654
"1871" "5707" -1289428 -1085998 -882568
"1872" "5708" -1273864 -1074208 -874552
"1873" "5709" -1304634 -1102946 -901258
"1874" "5711" -1336221 -1119371 -902521
"1875" "5712" -1375146 -1160211 -945276
"1876" "5715" -1399313 -1176918 -954523
"1877" "5721" -1297650 -1087365 -877080
"1878" "5724" -1401926 -1125057 -848188
"1879" "5725" -1327176 -1081490 -835804
"1880" "5731" -1296126 -1095134 -894142
"1881" "5735" -1301132 -1096834 -892536
"1882" "5737" -1312986 -1105847 -898708
"1883" "5738" -1268230 -1028198 -788166
"1884" "5741" -1278490 -1073495 -868500
"1885" "5751" -1319701 -1116513 -913325
"1886" "5752" -1420381 -1202300 -984219
"1887" "5753" -1306560 -1088545 -870530
"1888" "5754" -1342617 -1131294 -919971
"1889" "5756" -1313638 -1078047 -842456
"1890" "5757" -1385548 -1174768 -963988
"1891" "5758" -1391424 -1159437 -927450
"1892" "5759" -1463300 -1227701 -992102
"1893" "5761" -1356788 -1141894 -927000
"1894" "5763" -1331732 -1102720 -873708
"1895" "5764" -1536595 -1290950 -1045305
"1896" "5766" -1423571 -1124731 -825891
"1897" "5768" -1335609 -1111307 -887005
"1898" "5801" -1351415 -1146421 -941427
"1899" "5802" -1338613 -1123732 -908851
"1900" "5803" -1369235 -1165104 -960973
"1901" "5804" -1348116 -1135500 -922884
"1902" "5807" -1414398 -1178816 -943234
"1903" "5808" -1452877 -1176018 -899159
"1904" "5809" -1408371 -1155414 -902457
"1905" "5811" -1375101 -1122098 -869095
"1906" "5812" -1574943 -1138050 -701157
"1907" "5813" -1440643 -1211626 -982609
"1908" "5814" -1697549 -1358789 -1020029
"1909" "5815" -1622276 -1376488 -1130700
"1910" "5816" -1564406 -1225629 -886852
"1911" "5817" -1557369 -1218688 -880007
"1912" "5821" -1365347 -1141139 -916931
"1913" "5823" -1509848 -1269718 -1029588
"1914" "5824" -1460383 -1224803 -989223
"1915" "5825" -1413371 -1181390 -949409
"1916" "5826" -1391627 -1145519 -899411
"1917" "5827" -1488446 -1242810 -997174
"1918" "5831" -1321421 -1120805 -920189
"1919" "5835" -1428879 -1196908 -964937
"1920" "5836" -1472095 -1240088 -1008081
"1921" "5841" -1430810 -1153890 -876970
"1922" "5844" -1574416 -1297547 -1020678
"1923" "5845" -1340350 -1130593 -920836
"1924" "5846" -1372452 -1132440 -892428
"1925" "5851" -1488228 -1271357 -1054486
"1926" "5853" -1448923 -1239093 -1029263
"1927" "5854" -1387898 -1184689 -981480
"1928" "5855" -1459944 -1247969 -1035994
"1929" "5856" -1632633 -1397007 -1161381
"1930" "5861" -1346040 -1125282 -904524
"1931" "5862" -1504900 -1166237 -827574
"1932" "5863" -1377075 -1141456 -905837
"1933" "5864" -1445377 -1218950 -992523
"1934" "5865" -1467448 -1221856 -976264
"1935" "5866" -1516161 -1253443 -990725
"1936" "5871" -1565316 -1266307 -967298
"1937" "5911" -1386688 -1047914 -709140
"1938" "5912" -1438195 -1175432 -912669
"1939" "5913" -1349171 -1086472 -823773
"1940" "5914" -1561988 -1125084 -688180
"1941" "5915" -1360843 -1128855 -896867
"1942" "5916" -1397413 -1134578 -871743
"1943" "5921" -1322417 -1095959 -869501
"1944" "5922" -1397467 -1151855 -906243
"1945" "5923" -1418713 -1155969 -893225
"1946" "5924" -1403549 -1104674 -805799
"1947" "5925" -1394195 -1131467 -868739
"1948" "5926" -1404059 -1168429 -932799
"1949" "5927" -1547413 -1208426 -869439
"1950" "5928" -1592604 -1315651 -1038698
"1951" "5931" -1429183 -1206754 -984325
"1952" "5932" -1367547 -1138586 -909625
"1953" "5935" -1453490 -1207809 -962128
"1954" "5941" -1439529 -1217138 -994747
"1955" "5943" -1496156 -1157417 -818678
"1956" "5944" -1430470 -1184821 -939172
"1957" "5951" -1429200 -1202731 -976262
"1958" "5953" -1477743 -1245735 -1013727
"1959" "5954" -1382952 -1153947 -924942
"1960" "5961" -1400970 -1182946 -964922
"1961" "5962" -1758924 -1322055 -885186
"1962" "5963" -1517273 -1178291 -839309
"1963" "5964" -1555085 -1216371 -877657
"1964" "5966" -1394231 -1131524 -868817
"1965" "5971" -1437019 -1208123 -979227
"1966" "5973" -1804347 -1465652 -1126957
"1967" "5975" -1438912 -1176115 -913318
"1968" "5976" -1615324 -1178255 -741186
"1969" "5977" -1861136 -1424004 -986872
"1970" "5981" -1342020 -1115630 -889240
"1971" "5984" -1493811 -1155039 -816267
"1972" "5985" -1396807 -1164679 -932551
"1973" "5986" -1528516 -1091440 -654364
